id,key,value,type
42427926,highway,traffic_signals,regular
42428329,highway,traffic_signals,regular
42428782,highway,traffic_signals,regular
42429330,highway,traffic_signals,regular
42430324,highway,traffic_signals,regular
42431452,highway,traffic_signals,regular
42432975,highway,traffic_signals,regular
42433404,highway,traffic_signals,regular
42434946,highway,traffic_signals,regular
42435922,highway,traffic_signals,regular
42436374,highway,traffic_signals,regular
42436903,highway,traffic_signals,regular
42437472,highway,traffic_signals,regular
42438018,highway,traffic_signals,regular
42438531,highway,traffic_signals,regular
42439181,highway,traffic_signals,regular
42440798,highway,traffic_signals,regular
42442651,highway,traffic_signals,regular
42443810,highway,traffic_signals,regular
42445259,highway,traffic_signals,regular
42447303,highway,traffic_signals,regular
42448593,highway,traffic_signals,regular
42461914,ref,2,regular
42461914,exit_to,4th Avenue; Fort Hamilton Parkway,regular
42461914,highway,motorway_junction,regular
42464824,highway,traffic_signals,regular
42465575,highway,traffic_signals,regular
42469892,crossing,traffic_signals,regular
42469892,direction,forward,regular
42469892,highway,traffic_signals,regular
42469892,side,right,regular
42469892,sloped_curb,yes,regular
42477228,highway,traffic_signals,regular
42477665,crossing,uncontrolled,regular
42478701,highway,traffic_signals,regular
42485300,highway,traffic_signals,regular
42485300,crossing,traffic_signals,regular
42487762,highway,traffic_signals,regular
42489227,highway,traffic_signals,regular
42489227,crossing,traffic_signals,regular
42491632,highway,traffic_signals,regular
42492196,highway,traffic_signals,regular
42504249,highway,traffic_signals,regular
42506089,highway,traffic_signals,regular
42508836,highway,traffic_signals,regular
42508836,crossing,traffic_signals,regular
42511468,highway,stop,regular
42512305,highway,traffic_signals,regular
42512305,crossing,traffic_signals,regular
42512817,highway,traffic_signals,regular
42512817,crossing,traffic_signals,regular
42520484,highway,traffic_signals,regular
42521147,crossing,traffic_signals,regular
42521147,direction,forward,regular
42521147,highway,traffic_signals,regular
42521147,side,right,regular
42521147,sloped_curb,yes,regular
42737422,highway,traffic_signals,regular
42763478,highway,traffic_signals,regular
42793686,highway,traffic_signals,regular
42835569,highway,traffic_signals,regular
42836706,highway,traffic_signals,regular
42842492,highway,traffic_signals,regular
42856744,highway,traffic_signals,regular
42866370,highway,traffic_signals,regular
42867029,highway,traffic_signals,regular
42867654,highway,traffic_signals,regular
42879298,highway,traffic_signals,regular
42932839,highway,traffic_signals,regular
42938132,highway,turning_circle,regular
42958779,highway,turning_circle,regular
42970059,name,Atlantic,regular
42970059,network,Staten Island Railway,regular
42970059,railway,station,regular
42970059,wikipedia,en:Atlantic (Staten Island Railway station),regular
42970059,wheelchair,no,regular
42970059,railway,no,proposed
42977944,highway,traffic_signals,regular
42978415,highway,traffic_signals,regular
42983266,highway,turning_circle,regular
60540487,highway,traffic_signals,regular
75431870,source,tiger:boundaries,regular
83977847,highway,turning_circle,regular
103113244,highway,turning_loop,regular
103115002,highway,turning_circle,regular
