id,key,value,type
5669198,oneway,yes,regular
5669198,highway,motorway_link,regular
5669198,cfcc,A63,tiger
5669198,tlid,59661065:59663452:59663453:59663425:59663426; 59661160:59661161:59661155:59661062,tiger
5669198,county,"New York, NY",tiger
5669198,source,tiger_import_dch_v0.6_20070829,tiger
5669198,reviewed,no,tiger
5669198,upload_uuid,bulk_upload.pl-397c8f83-0473-4656-90f7-dc47b612c209,tiger
5669813,name,West 173rd Street,regular
5669813,name_1,West 173 Street,regular
5669813,oneway,yes,regular
5669813,highway,residential,regular
5669813,cfcc,A41,tiger
5669813,county,"New York, NY",tiger
5669813,reviewed,no,tiger
5669813,zip_left,10032,tiger
5669813,name_base,173rd,tiger
5669813,name_type,Street,tiger
5669813,zip_right,10032,tiger
5669813,name_base_1,173,tiger
5669813,name_type_1,Street,tiger
5669813,name_direction_prefix,W,tiger
5669813,name_direction_prefix_1,W,tiger
5670193,highway,residential,regular
5670193,maxspeed,25 mph,regular
5670193,name,Wooster Street,regular
5670193,oneway,yes,regular
5670193,cfcc,A41,tiger
5670193,county,"New York, NY",tiger
5670193,name_base,Wooster,tiger
5670193,name_type,Street,tiger
5670193,zip_left,10012,tiger
5670193,zip_right,10012,tiger
5670603,name,W 30 St,regular
5670603,highway,service,regular
5670603,cfcc,A41,tiger
5670603,county,"New York, NY",tiger
5670603,reviewed,no,tiger
5670603,zip_left,10001,tiger
5670603,name_base,30th,tiger
5670603,name_type,Street,tiger
5670603,zip_right,10001,tiger
5670603,name_base_1,30,tiger
5670603,name_type_1,Street,tiger
5670603,name_direction_prefix,W,tiger
5670603,name_direction_prefix_1,W,tiger
5670888,left,track,cycleway
5670888,highway,residential,regular
5670888,maxspeed,25 mph,regular
5670888,name,Clinton Street,regular
5670888,oneway,yes,regular
5670888,bicycle,no,oneway
5670888,cfcc,A41,tiger
5670888,county,"New York, NY",tiger
5670888,name_base,Clinton,tiger
5670888,name_type,Street,tiger
5670888,zip_left,10002,tiger
5670888,zip_right,10002,tiger
5671259,name,9th Avenue,regular
5671259,name_1,9 Avenue,regular
