id,user,uid,version,changeset,timestamp
5669198,dchiles,153669,11,8652174,2011-07-06T20:39:34Z
5669813,Eliyak,439046,4,18407885,2013-10-17T18:16:06Z
5670193,Sunfishtommy,2302638,6,46799901,2017-03-13T02:06:10Z
5670603,CartoRD,2958525,13,43455048,2016-11-07T01:07:55Z
5670888,Sunfishtommy,2302638,12,46727491,2017-03-10T03:27:32Z
5671259,nyuriks,339581,9,43721431,2016-11-17T08:33:36Z
5671579,Komяpa,29320,5,49585007,2017-06-16T09:10:58Z
5672006,thetornado76,1624486,10,42164037,2016-09-15T05:00:20Z
5672478,ALE!,40023,12,35462929,2015-11-20T14:51:35Z
5673020,simone,137,2,1714709,2009-07-03T01:01:13Z
5673523,Sunfishtommy,2302638,12,46800704,2017-03-13T03:15:37Z
5674244,andrewpmk,1679,5,16610246,2013-06-18T21:51:15Z
5675135,KristenK,1494110,8,21846308,2014-04-21T19:15:47Z
5675963,TheBestIdea,298513,13,44521422,2016-12-19T17:48:24Z
5676490,chdr,165869,2,3940068,2010-02-22T00:20:42Z
5676906,ingalls,305985,5,13481306,2012-10-13T16:41:55Z
5677237,MxxCon,384667,6,16844502,2013-07-06T05:57:14Z
5677529,TheBestIdea,298513,17,43404973,2016-11-04T16:46:13Z
5677820,AlaskaDave,473104,3,30979340,2015-05-11T00:56:14Z
5678154,chdr,165869,2,3940068,2010-02-22T00:14:07Z
5678382,watame,1380816,3,16322733,2013-05-28T11:53:15Z
5678643,chdr,165869,2,3920441,2010-02-20T04:27:26Z
5678981,харитачи,2407516,3,49004025,2017-05-26T14:59:11Z
5679354,srividya_c,2115749,6,32752301,2015-07-20T11:59:49Z
5679605,ingalls,305985,3,18781685,2013-11-08T13:05:02Z
5679844,infinitesunrise,4434293,10,41920614,2016-09-05T04:39:53Z
5680135,Xoan Manuel,840447,4,16204397,2013-05-20T08:38:16Z
5680420,chdr,165869,3,3439257,2009-12-24T00:49:21Z
5680674,MxxCon,384667,3,16381565,2013-06-01T18:41:50Z
5680890,chdr,165869,4,3948519,2010-02-22T23:40:59Z
5681055,Xoan Manuel,840447,3,16149291,2013-05-16T08:24:48Z
5681277,ediyes,1240849,6,24758226,2014-08-15T02:35:33Z
5681580,KristenK,1494110,9,21753743,2014-04-17T17:44:41Z
5681849,lxbarth,589596,6,20783420,2014-02-26T03:10:14Z
5682072,ediyes,1240849,3,22449152,2014-05-20T15:57:05Z
5695626,Korzun,1424765,9,28362859,2015-01-24T00:24:18Z
5695994,thetornado76,1624486,8,38944852,2016-04-28T08:30:40Z
5696309,chdr,165869,4,7206904,2011-02-06T17:49:18Z
5696550,chdr,165869,2,6980958,2011-01-15T19:20:30Z
5696748,chdr,165869,2,6963586,2011-01-14T01:35:05Z
5697045,NateOMatic,567237,5,13421087,2012-10-09T03:15:31Z
5697236,Dami_Tn,2012449,3,21698908,2014-04-14T22:37:05Z
5697415,chdr,165869,4,7206904,2011-02-06T17:50:04Z
5697599,Dami_Tn,2012449,3,21636780,2014-04-11T22:55:36Z
5697753,bot-mode,451693,2,15783691,2013-04-19T11:22:46Z
5697965,bot-mode,451693,3,15783691,2013-04-19T11:22:48Z
5698124,ediyes,1240849,10,22025330,2014-04-29T15:36:03Z
5698313,TheDutchMan13,1330847,4,21639273,2014-04-12T04:50:04Z
5698481,chdr,165869,2,6050702,2010-10-15T17:00:44Z
5698650,chdr,165869,2,8219326,2011-05-22T18:20:03Z
5698817,Dami_Tn,2012449,3,21740584,2014-04-17T00:20:25Z
5699001,chdr,165869,3,6996055,2011-01-17T04:36:05Z
5699152,chdr,165869,2,8154212,2011-05-15T17:03:24Z
5699308,Nicolas Love,2359041,4,32463094,2015-07-07T04:57:49Z
5699503,Dami_Tn,2012449,3,21756285,2014-04-17T19:43:46Z
5699675,ediyes,1240849,4,22619109,2014-05-29T13:59:12Z
5699837,Dami_Tn,2012449,4,21759813,2014-04-17T23:02:32Z
5699980,MCM7,2421207,23,35683841,2015-12-01T12:48:33Z
5700382,RussNelson,3962,9,2508576,2009-09-17T06:12:31Z
5700775,Dami_Tn,2012449,8,24070026,2014-07-10T19:23:35Z
5701107,chdr,165869,2,4111103,2010-03-13T01:21:58Z
5701254,chdr,165869,3,4180921,2010-03-20T15:34:15Z
5701378,TheBestIdea,298513,8,44573437,2016-12-21T20:00:02Z
5701562,bot-mode,451693,2,15783691,2013-04-19T11:23:21Z
5701721,wegavision,564585,9,37311708,2016-02-19T16:13:32Z
5701895,chdr,165869,4,4111103,2010-03-13T01:26:35Z
5702063,SP!KE,521684,4,21616040,2014-04-10T21:34:09Z
5702302,cquest,158826,4,31750887,2015-06-05T16:54:31Z
5702492,pdunn,32360,3,7943353,2011-04-23T13:08:54Z
5702694,chdr,165869,2,6953682,2011-01-13T02:33:29Z
5702877,chdr,165869,2,6947890,2011-01-12T14:51:03Z
5703073,NE2,207745,2,3420293,2009-12-21T14:13:32Z
5703279,Tiberia99,1976566,3,21089762,2014-03-13T21:17:14Z
5703456,chdr,165869,2,4111103,2010-03-13T01:05:47Z
5703648,claysmalley,119881,4,44612077,2016-12-23T05:47:19Z
5703805,chdr,165869,2,6756290,2010-12-24T17:33:51Z
5703968,chdr,165869,2,6953682,2011-01-13T02:34:09Z
5704103,bot-mode,451693,3,15783691,2013-04-19T11:23:46Z
5704270,chdr,165869,2,6947890,2011-01-12T14:50:05Z
5704421,KristenK,1494110,3,21875309,2014-04-22T23:35:50Z
5704567,chdr,165869,2,6491477,2010-11-30T03:34:33Z
5704722,chdr,165869,2,3940459,2010-02-22T02:16:04Z
5704881,chdr,165869,2,6436678,2010-11-23T03:43:24Z
5705081,bot-mode,451693,4,15783691,2013-04-19T11:23:55Z
5705276,Xoan Manuel,840447,5,26163879,2014-10-18T05:25:32Z
5705438,chdr,165869,2,6462521,2010-11-26T14:41:19Z
5705601,Nicolas Love,2359041,3,28119445,2015-01-13T19:14:59Z
5705769,ingalls_nycbuildings,1812841,3,19062780,2013-11-22T21:20:45Z
5705920,ediyes,1240849,18,22644472,2014-05-30T19:17:17Z
5706096,monkeyrobot,646734,3,16464392,2013-06-08T03:20:06Z
5706243,birddr3am,3779056,7,38461582,2016-04-10T21:44:46Z
5706405,Nicolas Love,2359041,5,30610232,2015-04-29T08:22:48Z
5706575,chdr,165869,2,6491477,2010-11-30T03:34:31Z
5706720,KristenK,1494110,6,21869349,2014-04-22T18:45:44Z
5706886,TheBestIdea,298513,6,45519508,2017-01-26T16:42:17Z
5707064,KristenK,1494110,3,21876030,2014-04-23T00:37:48Z
5707229,chdr,165869,2,6457053,2010-11-25T19:52:51Z
